id_hd;REGION;s1a1;s1a2;s1a3;s1a4;s1a5;s1a6;s2a1;s2a2;s2a3;s2a4;s2a5;s2a6;MEMBERS;Weight
4816;4;0;2;0;1;0;0;0;0;0;1;0;0;4;369.9241363
4817;6;0;1;0;1;0;0;0;0;1;1;0;0;4;369.9241363
4818;3;0;0;0;1;0;0;0;2;1;1;0;0;5;317.0452195
4819;8;0;2;0;1;0;0;0;0;1;0;1;0;5;317.0452195
4820;4;0;0;0;0;0;0;0;0;0;0;1;0;1;457.517035
4821;4;0;0;1;0;0;0;0;0;0;0;1;0;2;386.9712
4822;7;0;0;1;1;0;0;0;0;0;1;0;0;3;360.3307095
4823;8;0;0;1;1;0;0;0;1;0;1;0;1;5;317.0452195
4824;3;0;0;0;1;0;0;0;1;1;1;0;0;4;369.9241363
4825;7;0;0;0;0;0;0;0;0;0;0;1;0;1;457.517035
4826;6;0;0;0;1;0;0;0;1;1;0;0;0;3;360.3307095
4827;2;0;1;0;1;0;0;0;0;1;1;0;1;5;317.0452195
4828;8;1;0;1;0;0;0;1;0;1;0;0;0;4;369.9241363
4829;7;0;0;1;0;0;0;0;0;0;0;1;0;2;386.9712
4830;5;0;0;2;1;0;0;0;0;1;1;0;0;5;317.0452195
4831;7;2;0;1;0;0;0;1;0;1;0;0;0;5;317.0452195
4832;7;0;0;0;0;0;0;0;0;0;0;1;0;1;457.517035
4833;5;0;0;1;0;0;0;0;1;0;1;0;0;3;360.3307095
4834;6;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4835;2;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4836;8;0;0;0;0;1;0;0;0;0;0;0;0;1;457.517035
4837;2;0;0;0;1;0;0;0;1;1;0;0;0;3;360.3307095
4838;4;0;0;1;1;0;0;0;0;0;1;0;0;3;360.3307095
4839;7;0;1;0;1;0;0;0;1;1;0;0;0;4;369.9241363
4840;1;0;0;2;0;0;0;0;1;1;0;0;1;5;317.0452195
4841;8;0;1;1;1;0;0;0;1;0;1;0;0;5;317.0452195
4842;5;0;0;0;0;0;1;0;0;0;0;1;0;2;386.9712
4843;8;0;0;0;0;1;0;0;0;0;0;1;0;2;386.9712
4844;2;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
4845;6;0;0;0;0;0;0;0;0;0;0;1;0;1;457.517035
4846;7;0;0;0;0;1;0;0;0;1;0;1;0;3;360.3307095
4847;1;0;1;0;0;1;0;0;0;1;1;0;0;4;369.9241363
4848;5;1;0;1;0;0;0;2;0;1;0;0;0;5;317.0452195
4849;8;0;0;0;0;0;0;0;0;0;0;1;0;1;457.517035
4850;3;0;0;1;1;0;0;0;0;0;1;0;0;3;360.3307095
4851;4;0;0;0;0;1;0;0;1;0;0;1;1;4;369.9241363
4852;1;0;0;0;0;1;0;0;0;0;0;1;1;3;360.3307095
4853;5;0;1;1;0;0;0;1;1;1;0;0;0;5;317.0452195
4854;1;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
4855;2;2;0;1;0;0;0;1;0;1;0;0;0;5;317.0452195
4856;2;0;0;0;0;0;1;0;1;1;0;1;0;4;369.9241363
4857;4;0;0;0;0;1;0;0;0;0;0;1;0;2;386.9712
4858;3;0;0;0;0;0;1;0;0;0;0;0;0;1;457.517035
4859;8;0;0;0;1;0;0;0;2;1;0;0;0;4;369.9241363
4860;2;0;0;1;0;0;1;0;0;0;0;1;0;3;360.3307095
4861;3;0;0;0;0;0;1;0;0;0;0;1;0;2;386.9712
4862;6;0;0;1;0;1;0;0;0;0;1;0;0;3;360.3307095
4863;6;0;0;0;0;1;1;0;0;0;1;0;0;3;360.3307095
4864;8;0;0;0;0;1;0;0;0;1;0;1;0;3;360.3307095
4865;4;0;0;1;1;0;0;0;1;0;1;0;0;4;369.9241363
4866;8;0;1;1;1;0;0;0;0;0;1;0;0;4;369.9241363
4867;6;0;2;0;1;0;0;0;0;0;1;0;0;4;369.9241363
