id_hd;REGION;s1a1;s1a2;s1a3;s1a4;s1a5;s1a6;s2a1;s2a2;s2a3;s2a4;s2a5;s2a6;MEMBERS;Weight
3184;5;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
3185;4;0;2;0;1;0;0;0;0;0;1;0;0;4;369.9241363
3186;3;0;0;0;0;1;0;0;0;0;0;1;0;2;386.9712
3187;2;2;0;1;0;0;0;0;0;1;0;0;0;4;369.9241363
3188;4;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
3189;5;0;0;0;0;0;0;0;0;2;1;0;0;3;360.3307095
3190;6;1;2;0;1;0;0;0;0;1;0;0;0;5;317.0452195
3191;6;0;0;1;0;0;0;0;0;1;0;0;0;2;386.9712
3192;3;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
3193;3;0;0;1;0;0;0;1;0;1;0;0;0;3;360.3307095
3194;3;0;0;1;1;0;0;0;0;0;0;0;0;2;386.9712
3195;1;1;1;1;0;0;0;1;0;1;0;0;0;5;317.0452195
3196;6;0;0;0;1;0;0;0;1;1;1;0;0;4;369.9241363
3197;6;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3198;1;0;0;0;0;0;1;0;0;0;0;0;1;2;386.9712
3199;3;0;0;1;1;0;0;0;0;0;1;0;0;3;360.3307095
3200;3;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3201;3;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3202;6;0;0;0;0;0;0;0;0;0;1;0;0;1;457.517035
3203;3;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3204;5;0;1;0;1;0;0;1;0;1;1;0;0;5;317.0452195
3205;6;0;0;0;0;0;0;0;0;0;1;0;0;1;457.517035
3206;1;0;1;1;0;0;0;2;0;1;0;0;0;5;317.0452195
3207;6;0;0;0;1;0;0;0;0;0;0;0;0;1;457.517035
3208;6;0;0;0;0;0;0;0;0;0;0;0;1;1;457.517035
3209;1;0;3;0;0;1;0;0;0;0;1;0;0;5;317.0452195
